# Program:featureCounts v2.0.6; Command:"featureCounts" "-g" "gene_id" "-a" "annotation.gtf" "-o" "SRR" "SRR941816.bam" "SRR941817.bam" "SRR941818.bam" "SRR941819.bam" 
Geneid	SRR941816.bam	SRR941817.bam	SRR941818.bam	SRR941819.bam
gene-YDL200C	751	392	31	106
gene-YDL199C	821	381	18	50
gene-YDL198C	47	236	45	140
gene-YDL197C	444	487	8	55
gene-YDL195W	1783	2638	99	482
gene-YDL194W	905	909	40	110
gene-YDL193W	146	258	51	229
gene-YDL192W	534	1664	587	2679
gene-YDL191W	614	1095	960	4262
gene-YDL190C	421	542	66	316
gene-YDL189W	52	136	119	501
gene-YDL188C	359	295	47	288
gene-YDL186W	52	36	12	35
gene-YDL185W	7222	7511	560	2214
gene-YDL184C	1592	2132	484	1785
gene-YDL183C	96	59	16	104
gene-YDL182W	844	599	312	877
gene-YDL181W	1630	2077	36	116
gene-YDL180W	294	359	57	170
gene-YDL179W	134	262	22	80
gene-YDL178W	810	1184	264	885
gene-YDL177C	101	81	60	208
gene-YDL176W	246	181	68	215
gene-YDL175C	377	322	71	245
gene-YDL174C	2889	5315	585	1924
gene-YDL173W	2312	2230	147	585
gene-YDL171C	1948	999	281	948
gene-YDL170W	525	346	365	952
gene-YDL169C	1876	1176	25	62
gene-YDL168W	15292	13380	676	2790
gene-YDL167C	68	80	348	1038
gene-YDL166C	121	202	202	639
gene-YDL165W	600	633	87	338
gene-YDL164C	72	368	10	53
gene-YDL161W	204	504	41	214
gene-YDL160C-A	88	92	12	48
gene-YDL160C	1098	1103	105	278
gene-YDL159W-A	11	7	1	4
gene-YDL159W	376	446	73	234
gene-YDL157C	151	358	29	114
gene-YDL156W	21	64	7	21
gene-YDL155W	104	169	89	292
gene-YDL154W	19	53	9	57
gene-YDL153C	767	801	564	1668
gene-YDL150W	138	258	389	1329
gene-YDL149W	731	370	15	76
gene-YDL148C	196	309	649	2001
gene-YDL147W	4386	4985	203	722
gene-YDL146W	88	143	20	93
gene-YDL145C	324	1076	217	813
gene-YDL144C	1102	1207	101	490
gene-YDL143W	1611	2037	545	1930
gene-YDL142C	377	449	13	58
gene-YDL141W	211	228	33	187
gene-YDL140C	1124	1340	338	1255
gene-YDL139C	92	111	33	120
gene-YDL138W	138	154	164	546
gene-YDL137W	5169	5033	304	1072
gene-YDL136W	442	615	800	3062
gene-YDL135C	609	1071	83	411
gene-YDL134C	1635	1245	255	991
gene-YDL133C-A	1171	2890	813	3035
gene-YDL133W	301	215	122	484
gene-YDL132W	901	882	91	472
gene-YDL131W	626	821	299	1096
gene-YDL130W-A	5043	4174	54	146
gene-YDL130W	818	2529	2035	7809
gene-YDL129W	106	139	63	275
gene-YDL128W	636	643	199	704
gene-YDL127W	141	307	17	76
gene-YDL126C	9539	11499	165	677
gene-YDL125C	2924	2103	113	469
gene-YDL124W	9050	7645	141	516
gene-YDL123W	671	300	47	176
gene-YDL122W	470	406	552	1817
gene-YDL121C	232	402	157	456
gene-YDL120W	688	617	50	253
gene-YDL119C	54	128	19	84
gene-YDL117W	159	236	44	243
gene-YDL116W	325	358	160	589
gene-YDL115C	1489	1319	97	302
gene-YDL114W	16	11	1	1
gene-YDL113C	1536	1440	28	153
gene-YDL112W	214	434	195	655
gene-YDL111C	168	245	437	1451
gene-YDL110C	1084	1109	140	476
gene-YDL109C	151	141	46	137
gene-YDL108W	131	177	115	326
gene-YDL107W	74	151	20	88
gene-YDL106C	867	1014	39	163
gene-YDL105W	20	64	7	25
gene-YDL104C	94	250	9	34
gene-YDL103C	251	775	27	114
gene-YDL102W	72	178	27	84
gene-YDL101C	408	601	9	16
gene-YDL100C	1607	2607	117	450
gene-YDL099W	1465	1598	116	416
gene-YDL098C	66	111	23	134
gene-YDL097C	3043	4385	166	790
gene-YDL095W	860	1528	316	1317
gene-YDL093W	110	294	24	92
gene-YDL092W	316	547	150	525
gene-YDL091C	1025	1189	32	124
gene-YDL090C	410	344	12	46
gene-YDL089W	316	232	18	91
gene-YDL088C	706	799	224	788
gene-YDL087C	118	105	42	95
gene-YDL086W	3114	2296	152	582
gene-YDL085C-A	51	76	47	161
gene-YDL085W	2973	1160	28	48
gene-YDL084W	1522	3056	706	2770
gene-YDL083C	895	2563	2241	9556
gene-YDL082W	699	1803	2214	8891
gene-YDL081C	1696	4307	2565	10271
gene-YDL080C	210	203	131	410
gene-YDL079C	590	735	30	91
gene-YDL078C	9980	7110	202	654
gene-YDL077C	214	285	51	212
gene-YDL076C	161	175	127	525
gene-YDL075W	1282	3153	2705	11240
gene-YNCD0002C	10	21	12	25
gene-YDL074C	441	463	447	1464
gene-YDL073W	60	76	158	645
gene-YDL072C	1300	1737	43	188
gene-YDL070W	2773	1974	165	567
gene-YDL069C	127	114	26	112
gene-YDL067C	3769	4253	186	710
gene-YDL066W	882	1596	68	308
gene-YDL065C	1527	1376	115	351
gene-YDL064W	306	466	180	646
gene-YDL063C	52	102	672	2437
gene-YDL061C	858	1719	1279	5185
gene-YDL060W	189	271	809	2542
gene-YDL059C	17	21	12	58
gene-YDL058W	253	303	56	193
gene-YDL057W	368	307	20	47
gene-YDL056W	364	530	94	347
gene-YDL055C	3429	10528	920	3160
gene-YNCD0003W	0	0	1	5
gene-YDL054C	428	304	88	216
gene-YDL053C	714	686	191	735
gene-YDL052C	104	198	77	315
gene-YDL051W	813	1052	806	3007
gene-YDL049C	267	168	12	22
gene-YDL048C	1062	1265	611	1378
gene-YDL047W	1401	1512	281	1124
gene-YDL046W	5274	3321	233	915
gene-YDL045W-A	220	277	49	231
gene-YDL045C	302	443	43	132
gene-YDL044C	59	132	33	129
gene-YDL043C	210	187	40	126
gene-YDL042C	271	214	59	130
gene-YDL040C	386	833	132	480
gene-YDL039C	37	65	251	745
gene-YDL037C	28	45	109	208
gene-YDL036C	134	202	95	202
gene-YDL035C	536	444	213	548
gene-YDL033C	68	124	44	153
gene-YDL031W	327	396	634	1881
gene-YDL030W	109	140	67	233
gene-YDL029W	1307	2286	44	272
gene-YDL028C	189	272	66	227
gene-YDL027C	1593	1159	26	85
gene-YDL025C	1444	1040	199	561
gene-YDL024C	108	57	11	23
gene-YDL022C-A	8	4	1	1
gene-YNCD0004W	0	0	0	0
gene-YDL022W	7988	7580	13691	54763
gene-YDL021W	2069	2836	32	154
gene-YDL020C	2871	2561	247	707
gene-YDL019C	1330	1623	109	406
gene-YDL018C	25	165	1	17
gene-YDL017W	100	235	48	213
gene-YDL015C	1455	1952	522	1934
gene-YDL014W	295	778	2661	8614
gene-YDL013W	366	302	205	526
gene-YDL012C	71	295	30	138
gene-YDL010W	294	174	17	85
gene-YDL009C	46	54	7	7
gene-YDL008W	112	314	30	94
gene-YNCD0005C	0	0	0	3
gene-YDL007C-A	1	3	0	1
gene-YNCD0006W	0	0	0	0
gene-YDL007W	3122	3325	203	891
gene-YDL006W	197	185	60	256
gene-YDL005C	1392	1206	94	325
gene-YDL004W	4540	5186	84	420
gene-YDL003W	22	380	3	36
gene-YDL002C	255	416	99	406
gene-YDL001W	210	281	85	268
gene-YDR001C	3434	2625	547	1519
gene-YDR002W	531	1609	1679	6233
gene-YDR003W	720	942	67	280
gene-YDR003W-A	122	198	9	58
gene-YDR004W	234	276	44	272
gene-YDR005C	838	703	99	302
gene-YDR006C	1470	1291	401	1427
gene-YDR007W	483	372	110	314
gene-YDR009W	212	412	8	27
gene-YDR010C	4	20	0	3
gene-YDR011W	1877	1357	142	259
gene-YDR012W	782	1964	852	3193
gene-YDR013W	26	106	33	152
gene-YDR014W	142	178	17	46
gene-YDR014W-A	12	19	0	6
gene-YDR016C	28	63	9	28
gene-YDR017C	314	454	161	554
gene-YDR018C	723	382	13	33
gene-YDR019C	357	873	100	205
gene-YDR020C	46	75	78	262
gene-YDR021W	39	74	195	661
gene-YDR022C	717	515	45	171
gene-YNCD0007C	0	1	0	2
gene-YDR023W	2066	3379	1189	3902
gene-YDR025W	1480	3005	2523	9750
gene-YDR026C	255	358	178	549
gene-YDR027C	397	526	50	205
gene-YDR028C	1956	1713	214	745
gene-YDR029W	166	146	11	36
gene-YDR030C	535	377	39	152
gene-YDR031W	217	527	10	72
gene-YDR032C	3053	3517	40	237
gene-YNCD0033W	15	7	15	42
gene-YNCD0034C	0	0	0	0
gene-YDR033W	505	1320	721	2189
gene-YDR034C	467	477	177	566
gene-YDR034C-D	13	8	11	22
gene-YDR034C-C	0	0	0	0
gene-YNCD0008W	0	1	0	0
gene-YDR034C-A	12	5	0	0
gene-YNCD0009W	0	0	0	0
gene-YDR034W-B	329	120	10	28
gene-YDR035W	1232	1490	725	2188
gene-YDR036C	357	955	63	270
gene-YDR037W	293	581	3157	10344
gene-YDR038C	235	38	37	131
gene-YDR039C	0	0	0	0
gene-YDR040C	916	102	48	176
gene-YDR041W	681	973	58	230
gene-YDR042C	1	6	6	20
gene-YNCD0010C	3	3	2	4
gene-YDR043C	722	252	206	518
gene-YDR044W	123	352	14	79
gene-YDR045C	28	64	86	292
gene-YDR046C	1802	1292	340	1636
gene-YDR047W	361	1255	132	601
gene-YDR049W	147	277	212	688
gene-YDR050C	37564	44615	3996	14991
gene-YDR051C	708	633	142	557
gene-YDR052C	227	423	149	519
gene-YDR054C	1515	1251	400	1072
gene-YDR055W	2879	3412	68	306
gene-YDR056C	860	1028	59	247
gene-YDR057W	420	336	46	152
gene-YDR058C	176	272	81	266
gene-YNCD0011W	0	0	0	0
gene-YNCD0012W	0	0	0	0
gene-YDR059C	1729	969	119	254
gene-YDR060W	230	477	911	2799
gene-YDR061W	132	217	56	212
gene-YDR062W	568	823	355	1403
gene-YDR063W	546	825	23	161
gene-YDR064W	1367	3544	4127	17525
gene-YDR065W	107	171	72	227
gene-YDR066C	118	149	19	100
gene-YDR067C	390	522	67	267
gene-YDR068W	1056	997	67	275
gene-YDR069C	705	698	68	251
gene-YDR070C	8468	1342	81	43
gene-YDR071C	1110	2062	125	753
gene-YDR072C	300	297	608	1347
gene-YDR073W	186	144	55	202
gene-YDR074W	5561	3949	209	560
gene-YDR075W	41	58	92	303
gene-YDR076W	99	107	6	37
gene-YDR077W	61934	42285	5698	15866
gene-YDR078C	45	96	19	74
gene-YDR079W	223	357	58	155
gene-YDR079C-A	184	153	19	66
gene-YDR080W	472	568	49	160
gene-YDR081C	239	404	157	429
gene-YDR082W	300	338	60	221
gene-YDR083W	138	197	527	1481
gene-YDR084C	121	274	15	103
gene-YDR085C	896	651	28	60
gene-YDR086C	627	1081	237	1085
gene-YDR087C	62	242	503	1783
gene-YDR088C	645	763	102	312
gene-YNCD0013C	0	0	0	0
gene-YDR089W	201	308	60	148
gene-YDR090C	526	428	87	264
gene-YDR091C	426	548	1127	3159
gene-YDR092W	546	772	147	421
gene-YDR093W	252	537	148	415
gene-YDR096W	2028	1683	93	226
gene-YDR097C	217	606	14	44
gene-YDR098C	394	835	176	655
gene-YNCD0014C	0	0	0	0
gene-YDR098C-B	0	0	1	2
gene-YDR098C-A	0	0	0	0
gene-YDR099W	5420	4158	151	704
gene-YDR100W	196	414	5	56
gene-YDR101C	134	260	963	2913
gene-YDR102C	13	13	9	18
gene-YDR103W	36	51	50	168
gene-YDR104C	197	202	28	117
gene-YDR105C	561	534	58	242
gene-YDR106W	84	41	4	10
gene-YNCD0015C	1	0	0	0
gene-YDR107C	94	93	2	20
gene-YDR108W	54	96	44	121
gene-YDR109C	306	230	83	241
gene-YDR110W	60	85	153	485
gene-YDR111C	977	141	233	584
gene-YDR113C	52	271	19	56
gene-YDR114C	1	7	0	0
gene-YDR115W	178	516	35	129
gene-YDR116C	196	658	52	223
gene-YDR117C	108	185	68	236
gene-YDR118W	58	102	10	68
gene-YDR119W	93	114	167	747
gene-YDR119W-A	7501	2727	124	186
gene-YDR120C	257	354	381	1069
gene-YDR121W	146	196	73	259
gene-YDR122W	707	682	27	118
gene-YDR123C	921	1025	34	118
gene-YDR124W	116	252	10	62
gene-YDR125C	204	318	14	48
gene-YDR126W	113	79	43	147
gene-YDR127W	811	1661	37	200
gene-YDR128W	505	426	44	164
gene-YDR129C	7146	8921	226	684
gene-YDR130C	166	226	52	140
gene-YDR131C	205	158	27	78
gene-YDR132C	152	127	42	94
gene-YDR134C	17408	30643	3106	9869
gene-YDR135C	820	922	104	434
gene-YDR137W	217	361	50	192
gene-YDR138W	93	186	51	253
gene-YDR139C	401	511	71	218
gene-YDR140W	239	294	48	133
gene-YDR141C	542	676	49	187
gene-YDR142C	355	256	51	195
gene-YDR143C	196	237	140	555
gene-YDR144C	16	47	61	299
gene-YDR145W	1016	881	154	557
gene-YDR146C	129	218	4	37
gene-YDR147W	125	105	37	161
gene-YDR148C	7660	7161	148	409
gene-YDR150W	3468	2608	78	240
gene-YDR151C	1021	1476	110	313
gene-YDR152W	816	1013	376	1400
gene-YDR153C	780	904	215	658
gene-YDR155C	26689	23963	452	1935
gene-YDR156W	190	233	253	1118
gene-YDR157W	17	22	16	74
gene-YDR158W	658	1481	516	1294
gene-YDR159W	297	373	107	291
gene-YDR160W	441	393	114	326
gene-YDR161W	366	444	466	1691
gene-YDR162C	507	394	42	188
gene-YDR163W	536	388	63	195
gene-YDR164C	543	673	89	256
gene-YDR165W	57	174	386	1284
gene-YDR166C	545	626	84	275
gene-YDR167W	314	484	109	403
gene-YDR168W	3233	2997	135	468
gene-YDR169C	1072	914	56	168
gene-YDR169C-A	8	11	1	2
gene-YDR170C	1054	1614	100	421
gene-YNCD0016C	0	0	0	0
gene-YDR170W-A	7	13	5	16
gene-YDR171W	20801	36534	272	1283
gene-YDR172W	1433	2048	934	2777
gene-YDR173C	799	279	56	134
gene-YDR174W	1255	1633	278	885
gene-YDR175C	265	869	66	242
gene-YDR176W	485	669	78	369
gene-YDR177W	1010	1037	93	464
gene-YDR178W	3942	3462	90	278
gene-YDR179C	437	254	34	133
gene-YDR179W-A	59	61	37	174
gene-YDR180W	33	114	30	112
gene-YDR181C	406	556	27	130
gene-YDR182W	377	475	64	239
gene-YDR182W-A	3	16	0	6
gene-YDR183W	86	171	15	91
gene-YDR184C	166	170	292	913
gene-YDR185C	82	96	52	153
gene-YDR186C	2060	1443	634	1608
gene-YDR188W	1037	1660	715	2624
gene-YDR189W	335	506	122	480
gene-YDR190C	830	1170	406	1301
gene-YDR191W	9	21	15	71
gene-YDR192C	135	119	96	284
gene-YDR194C	200	217	298	968
gene-YDR194W-A	0	0	1	0
gene-YDR195W	173	203	84	354
gene-YDR196C	846	935	50	224
gene-YDR197W	149	259	38	189
gene-YDR198C	164	241	71	227
gene-YDR200C	537	409	50	160
gene-YDR201W	158	165	9	46
gene-YDR202C	997	1057	40	144
gene-YDR204W	1622	1289	27	93
gene-YDR205W	273	220	56	230
gene-YDR206W	936	583	324	1135
gene-YDR207C	155	197	152	387
gene-YDR208W	841	1094	230	717
gene-YDR209C	73	183	26	139
gene-YDR210W	0	0	0	0
gene-YDR210W-A	0	0	0	0
gene-YDR210W-B	0	2	0	2
gene-YDR210C-D	0	0	0	0
gene-YDR210C-C	0	0	0	0
gene-YNCD0017W	0	0	0	0
gene-YDR211W	318	454	497	1543
gene-YDR212W	835	1443	311	1164
gene-YDR213W	94	193	42	120
gene-YDR214W	3209	3272	92	285
gene-YDR215C	5	25	0	4
gene-YDR216W	6448	6970	97	279
gene-YDR217C	224	291	32	82
gene-YDR218C	40	11	5	15
gene-YDR219C	406	389	77	221
gene-YDR221W	296	527	36	142
gene-YDR222W	160	160	487	2357
gene-YDR223W	308	117	46	147
gene-YDR224C	2648	12651	316	3715
gene-YDR225W	3539	10070	134	1443
gene-YDR226W	1639	3874	821	3226
gene-YDR227W	310	330	87	250
gene-YDR228C	88	94	83	349
gene-YDR229W	328	537	25	109
gene-YDR231C	677	781	48	213
gene-YDR232W	756	997	951	3207
gene-YDR233C	3698	4041	816	3172
gene-YDR234W	154	205	361	1280
gene-YDR235W	161	156	85	262
gene-YDR236C	216	280	33	153
gene-YDR237W	50	514	47	179
gene-YDR238C	1505	2230	221	752
gene-YDR239C	361	351	67	159
gene-YDR240C	67	50	76	234
gene-YNCD0018W	1	1	1	4
gene-YDR242W	262	338	51	200
gene-YDR243C	169	155	73	163
gene-YDR244W	599	499	98	370
gene-YDR245W	322	476	308	1126
gene-YDR246W	872	816	36	134
gene-YDR246W-A	29	16	1	3
gene-YDR247W	500	643	17	72
gene-YDR248C	134	147	40	160
gene-YDR249C	36	42	80	241
gene-YDR251W	1149	1350	36	165
gene-YDR252W	55	51	4	19
gene-YDR253C	75	67	24	89
gene-YDR254W	391	279	12	53
gene-YDR255C	1483	931	17	61
gene-YDR256C	24981	5347	242	160
gene-YDR257C	131	235	111	350
gene-YDR258C	12425	35868	117	943
gene-YDR259C	274	321	8	42
gene-YDR260C	102	126	42	122
gene-YDR261C	48	100	16	127
gene-YNCD0019C	0	0	0	0
gene-YDR261W-A	0	0	0	0
gene-YDR261W-B	0	1	0	0
gene-YDR261C-D	0	0	0	0
gene-YDR261C-C	0	0	0	0
gene-YNCD0020W	0	0	0	3
gene-YDR262W	3607	1434	158	385
gene-YDR263C	75	114	3	42
gene-YDR264C	404	597	108	379
gene-YDR265W	222	398	20	111
gene-YDR266C	182	268	340	1315
gene-YDR267C	182	316	70	264
gene-YDR268W	18	186	15	61
gene-YDR270W	309	583	155	452
gene-YDR272W	3150	2426	171	539
gene-YDR273W	270	118	11	58
gene-YDR274C	330	167	11	20
gene-YDR275W	1807	1827	56	195
gene-YDR276C	4845	5122	95	438
gene-YDR277C	395	328	27	57
gene-YNCD0021C	0	1	0	0
gene-YDR279W	177	300	22	60
gene-YDR280W	66	167	244	740
gene-YDR281C	1	5	1	3
gene-YDR282C	293	501	13	57
gene-YDR283C	465	507	50	229
gene-YDR284C	113	319	22	146
gene-YDR285W	69	112	25	123
gene-YDR286C	67	108	13	55
gene-YDR287W	1042	818	38	143
gene-YDR288W	440	320	112	381
gene-YDR289C	830	818	59	233
gene-YDR291W	292	273	81	253
gene-YDR292C	372	817	112	465
gene-YDR293C	5575	2498	189	528
gene-YDR294C	1600	1743	73	263
gene-YDR295C	161	302	33	121
gene-YDR296W	308	739	47	207
gene-YDR297W	355	697	201	633
gene-YDR298C	3649	6547	148	868
gene-YDR299W	169	226	611	2116
gene-YDR300C	142	355	191	650
gene-YDR301W	290	331	66	270
gene-YDR302W	50	73	48	220
gene-YDR303C	87	203	67	250
gene-YDR304C	668	1492	100	489
gene-YDR305C	173	249	12	112
gene-YDR306C	1197	847	58	204
gene-YNCD0022C	0	1	0	1
gene-YDR307W	94	129	18	94
gene-YDR308C	74	125	30	145
gene-YDR309C	60	501	23	175
gene-YDR310C	399	409	144	610
gene-YDR311W	281	292	114	418
gene-YDR312W	121	248	220	762
gene-YDR313C	929	1160	65	190
gene-YDR314C	411	459	10	55
gene-YDR315C	199	197	8	56
gene-YDR316W	300	439	25	118
gene-YNCD0023C	0	0	0	1
gene-YDR316W-A	0	0	0	0
gene-YDR316W-B	0	0	0	0
gene-YDR317W	85	39	12	54
gene-YDR318W	64	117	11	58
gene-YDR319C	504	411	31	96
gene-YDR320C	654	1017	45	242
gene-YDR320C-A	549	542	29	124
gene-YDR321W	37	78	297	1015
gene-YDR322W	266	794	59	250
gene-YDR322C-A	1191	2217	204	738
gene-YDR323C	93	119	33	170
gene-YDR324C	110	200	535	1724
gene-YDR325W	44	69	85	311
gene-YDR326C	120	219	160	531
gene-YDR328C	3261	2627	215	671
gene-YDR329C	1965	1412	86	352
gene-YDR330W	1448	988	57	250
gene-YDR331W	132	198	88	229
gene-YDR332W	201	236	65	265
gene-YDR333C	204	403	245	802
gene-YDR334W	459	604	120	396
gene-YDR335W	1790	1678	108	351
gene-YDR336W	163	179	33	133
gene-YDR337W	118	576	40	233
gene-YDR338C	405	384	81	221
gene-YDR339C	352	577	537	1792
gene-YNCD0024C	1	0	0	0
gene-YDR341C	243	920	544	1864
gene-YDR342C	5900	7973	62	196
gene-YDR343C	2880	3500	32	110
gene-YDR344C	4	7	3	9
gene-YDR345C	2270	2429	4195	8365
gene-YDR346C	366	587	276	950
gene-YDR347W	170	788	87	386
gene-YDR348C	143	477	95	361
gene-YDR349C	853	709	214	658
gene-YNCD0025W	0	0	0	0
gene-YDR350C	367	391	128	401
gene-YDR351W	439	285	171	560
gene-YDR352W	240	254	68	233
gene-YDR353W	379	1061	179	576
gene-YDR354W	46	48	27	127
gene-YDR356W	215	424	15	49
gene-YDR357C	518	321	20	55
gene-YDR358W	1363	1520	25	52
gene-YDR359C	285	320	37	167
gene-YDR361C	212	300	376	1474
gene-YDR362C	300	492	114	393
gene-YDR363W	465	511	97	203
gene-YNCD0026W	0	0	0	0
gene-YDR363W-A	994	1256	73	323
gene-YDR364C	266	205	158	469
gene-YDR365C	232	438	634	2097
gene-YDR365W-A	0	0	0	0
gene-YDR365W-B	0	0	0	0
gene-YDR366C	11	8	7	28
gene-YDR367W	174	249	123	430
gene-YDR368W	982	1166	296	1245
gene-YDR369C	103	98	17	48
gene-YDR370C	58	61	97	350
gene-YDR371W	46	38	10	70
gene-YDR372C	631	715	213	916
gene-YDR373W	470	652	97	410
gene-YDR374C	0	11	1	3
gene-YDR374W-A	191	231	15	40
gene-YDR375C	73	306	41	125
gene-YDR376W	120	404	7	81
gene-YDR377W	2175	4497	123	600
gene-YDR378C	148	254	56	240
gene-YDR379W	245	385	67	309
gene-YDR379C-A	1293	828	12	28
gene-YDR380W	486	1840	11	56
gene-YDR381W	821	1539	230	791
gene-YDR381C-A	243	318	34	155
gene-YDR382W	884	3024	2761	11825
gene-YDR383C	38	77	35	160
gene-YDR384C	796	166	193	640
gene-YDR385W	1762	1958	523	1715
gene-YDR386W	124	176	21	72
gene-YDR387C	193	297	44	187
gene-YDR388W	2324	2975	167	768
gene-YDR389W	222	182	66	219
gene-YDR390C	560	683	125	352
gene-YNCD0027C	0	0	0	0
gene-YDR391C	398	519	32	191
gene-YDR392W	88	149	54	255
gene-YDR393W	210	249	38	153
gene-YDR394W	3122	3564	137	692
gene-YDR395W	281	672	439	1387
gene-YDR397C	402	648	176	529
gene-YDR398W	81	261	823	2776
gene-YDR399W	241	619	1889	5420
gene-YDR400W	64	234	68	250
gene-YDR402C	16	6	3	15
gene-YDR403W	70	65	7	27
gene-YDR404C	145	201	105	415
gene-YDR405W	569	673	136	490
gene-YDR406W	926	715	141	176
gene-YDR407C	61	144	27	165
gene-YDR408C	400	504	208	659
gene-YDR409W	452	356	86	299
gene-YDR410C	19	11	40	114
gene-YDR411C	868	827	43	163
gene-YDR412W	144	252	400	1298
gene-YDR414C	21	32	38	242
gene-YDR415C	120	159	99	281
gene-YDR416W	159	291	112	369
gene-YDR418W	703	2277	2400	9542
gene-YDR419W	267	213	128	415
gene-YNCD0028W	0	0	0	0
gene-YDR420W	413	265	111	355
gene-YDR421W	248	328	39	151
gene-YDR422C	320	312	96	363
gene-YDR423C	686	1206	60	159
gene-YDR424C	525	564	25	89
gene-YDR425W	663	488	26	110
gene-YDR427W	1428	2125	116	614
gene-YDR428C	113	230	75	231
gene-YDR429C	1152	2039	817	2649
gene-YDR430C	161	345	61	216
gene-YDR432W	4839	6731	1054	2182
gene-YDR434W	428	452	69	314
gene-YDR435C	975	735	23	84
gene-YDR436W	1235	893	37	137
gene-YDR437W	17	22	6	25
gene-YDR438W	90	121	26	96
gene-YDR439W	149	175	45	158
gene-YDR440W	41	146	11	34
gene-YDR441C	114	268	22	79
gene-YDR443C	400	409	37	120
gene-YDR444W	205	444	36	144
gene-YNCD0029C	0	0	0	0
gene-YDR446W	2	2	3	10
gene-YDR447C	548	2123	1805	7364
gene-YDR448W	91	275	106	344
gene-YDR449C	58	95	485	2014
gene-YDR450W	979	2052	2462	9840
gene-YDR451C	22	26	6	60
gene-YDR452W	2299	2182	148	637
gene-YDR453C	148	185	15	44
gene-YDR454C	647	975	353	1207
gene-YDR456W	860	838	65	343
gene-YDR457W	1149	1102	69	291
gene-YDR458C	619	712	134	424
gene-YDR459C	121	130	107	374
gene-YDR460W	601	466	68	332
gene-YDR461W	40	17	3	5
gene-YDR461C-A	962	453	14	55
gene-YDR462W	437	746	36	137
gene-YDR463W	2024	1450	394	1341
gene-YDR464W	718	524	251	761
gene-YDR465C	187	405	559	1836
gene-YDR466W	630	616	107	347
gene-YDR468C	446	581	81	336
gene-YDR469W	197	256	69	186
gene-YDR470C	409	567	55	190
gene-YDR471W	572	1589	1917	7657
gene-YNCD0030W	4	10	1	5
gene-YDR472W	104	191	127	483
gene-YDR473C	874	629	85	287
gene-YDR475C	1072	1800	102	349
gene-YDR476C	1359	1158	135	461
gene-YDR477W	1092	1250	134	441
gene-YDR478W	164	304	65	225
gene-YDR479C	539	562	53	198
gene-YDR480W	173	357	12	83
gene-YDR481C	1211	1029	101	375
gene-YDR482C	243	198	70	253
gene-YDR483W	3725	3135	773	2376
gene-YDR484W	237	299	37	170
gene-YDR485C	1272	960	145	387
gene-YDR486C	1214	1100	117	379
gene-YDR487C	136	786	91	442
gene-YDR488C	4	29	5	8
gene-YDR489W	42	86	54	202
gene-YDR490C	715	455	30	181
gene-YDR492W	1660	1084	176	705
gene-YDR493W	35	99	28	112
gene-YDR494W	751	1552	95	412
gene-YDR495C	527	360	47	169
gene-YDR496C	126	261	846	2483
gene-YDR497C	16192	11457	250	590
gene-YDR498C	575	603	37	204
gene-YDR499W	159	149	35	124
gene-YDR500C	643	1775	1486	5844
gene-YDR501W	59	86	2	15
gene-YDR502C	505	3173	591	1240
gene-YDR503C	19	54	5	27
gene-YDR504C	47	20	10	23
gene-YDR505C	2133	1228	82	182
gene-YDR506C	133	108	9	26
gene-YNCD0031C	0	0	0	0
gene-YDR507C	123	473	10	117
gene-YDR508C	794	548	2091	8982
gene-YDR510W	792	1160	197	993
gene-YDR511W	214	522	27	123
gene-YDR512C	512	396	13	83
gene-YDR513W	1845	2387	62	351
gene-YDR514C	77	122	92	322
gene-YDR515W	193	168	37	103
gene-YDR516C	3167	3383	63	178
gene-YDR517W	699	1116	34	136
gene-YDR518W	120	235	19	79
gene-YDR519W	308	500	20	131
gene-YDR520C	226	166	60	168
gene-YDR522C	52	16	5	13
gene-YDR523C	22	7	8	43
gene-YDR524C	372	157	176	521
gene-YDR524W-C	802	2716	632	2498
gene-YDR524C-B	2936	9209	1777	6499
gene-YDR525W	1	1	1	8
gene-YDR525W-A	781	468	28	83
gene-YDR527W	309	379	384	1272
gene-YNCD0032C	51	58	15	90
gene-YDR528W	9	8	112	319
gene-YDR529C	6798	8277	189	900
gene-YDR530C	892	972	35	173
gene-YDR531W	116	231	62	415
gene-YDR532C	328	397	44	182
gene-YDR533C	2332	2270	182	600
gene-YDR534C	27	71	42	223
gene-YDR536W	147	135	6113	24196
gene-YDR538W	211	150	34	95
gene-YDR539W	225	503	47	216
gene-YDR540C	146	124	8	32
gene-YDR541C	40	67	38	208
gene-YDR542W	3	3	0	0
gene-YDR545W	0	0	0	0
gene-YEL077C	75	85	7	21
gene-YEL076C-A	0	0	0	1
gene-YEL076C	2	2	0	0
gene-YEL075C	0	0	0	0
gene-YEL073C	641	502	18	46
gene-YEL072W	70	37	36	113
gene-YEL071W	1468	649	256	1311
gene-YEL070W	57	42	1	1
gene-YEL069C	20	17	2	5
gene-YEL068C	180	163	2	23
gene-YEL067C	82	67	2	3
gene-YEL066W	243	638	3	17
gene-YEL065W	2366	2156	70	104
gene-YEL064C	94	131	3	32
gene-YEL063C	600	1328	343	1176
gene-YEL062W	151	168	43	124
gene-YEL061C	116	209	15	92
gene-YEL060C	30363	15081	393	691
gene-YEL059C-A	105	92	2	13
gene-YEL059W	23	24	2	6
gene-YEL058W	317	459	42	185
gene-YEL057C	63	33	7	22
gene-YEL056W	244	419	29	186
gene-YEL055C	236	450	277	881
